date,USA,BRA,MEX,IND,GBR,ITA,FRA,ESP,COL,ARG,ZAF,IDN,UKR,TUR,CAN,CHL,BEL,HUN,ECU,BGR,PHL,BOL,CHE,JPN,BGD,TUN,MAR,GRC,GTM,SAU,HRV,KAZ,SRB,MDA,IRL,HND,PRY,SVN,GEO,AZE,LTU,ARM,DOM,DZA,NPL
2020-04-01,31175.0,1119.0,163.0,601.0,4938.0,4782.0,4843.0,8195.0,159.0,0.0,27.0,149.0,149.0,2148.0,1312.0,293.0,1189.0,33.0,508.0,23.0,227.0,8.0,1163.0,280.0,3.0,29.0,37.0,0.0,1.0,157.0,96.0,37.0,160.0,70.0,212.0,31.0,8.0,39.0,7.0,61.0,44.0,39.0,175.0,131.0,0.0
2020-04-02,32276.0,1208.0,132.0,545.0,4896.0,4668.0,2100.0,7947.0,96.0,79.0,82.0,113.0,103.0,2456.0,1719.0,373.0,1384.0,60.0,415.0,35.0,322.0,8.0,1059.0,283.0,2.0,32.0,54.0,0.0,8.0,165.0,48.0,55.0,111.0,82.0,402.0,47.0,15.0,56.0,17.0,41.0,73.0,92.0,96.0,139.0,1.0
2020-04-03,32401.0,1012.0,178.0,24.0,4924.0,4585.0,5223.0,7134.0,106.0,132.0,43.0,196.0,175.0,2786.0,1332.0,333.0,1422.0,38.0,205.0,28.0,385.0,9.0,779.0,336.0,5.0,40.0,83.0,457.0,3.0,154.0,68.0,29.0,305.0,86.0,424.0,3.0,4.0,37.0,21.0,43.0,58.0,73.0,108.0,185.0,0.0
2020-04-04,31845.0,1304.0,202.0,515.0,4071.0,4805.0,40617.3,6969.0,139.0,186.0,80.0,106.0,153.0,3013.0,1336.0,512.0,1661.0,55.0,97.0,18.0,76.0,7.0,899.0,371.0,9.0,58.0,128.0,60.0,11.0,140.0,47.0,67.0,148.0,161.0,331.0,42.0,8.0,43.0,7.0,78.0,43.0,34.0,0.0,80.0,3.0
2020-04-05,29240.0,770.0,253.0,506.0,3611.0,4316.0,846.0,5478.0,79.0,0.0,70.0,181.0,83.0,3135.0,1189.0,310.0,1260.0,55.0,181.0,28.0,152.0,18.0,595.0,351.0,18.0,21.0,102.0,62.0,0.0,223.0,56.0,53.0,284.0,112.0,390.0,4.0,9.0,20.0,12.0,63.0,46.0,52.0,257.0,69.0,0.0
2020-04-06,31782.0,1031.0,296.0,1190.0,5329.0,3599.0,2658.0,5029.0,94.0,103.0,31.0,218.0,11.0,3148.0,1501.0,344.0,1123.0,11.0,101.0,18.0,414.0,26.0,557.0,234.0,35.0,22.0,99.0,20.0,9.0,203.0,40.0,78.0,292.0,101.0,370.0,30.0,2.0,24.0,14.0,57.0,31.0,11.0,83.0,103.0,0.0
2020-04-07,30036.0,1873.0,346.0,533.0,5460.0,3039.0,40617.3,5267.0,201.0,74.0,63.0,247.0,143.0,3892.0,1388.0,301.0,1380.0,73.0,0.0,28.0,104.0,11.0,596.0,375.0,41.0,27.0,64.0,77.0,7.0,190.0,60.0,35.0,247.0,91.0,345.0,7.0,4.0,38.0,8.0,76.0,40.0,20.0,128.0,45.0,0.0
2020-04-08,31063.0,2136.0,396.0,605.0,5152.0,3836.0,3851.0,6278.0,274.0,87.0,96.0,218.0,206.0,4117.0,1236.0,430.0,1209.0,78.0,703.0,16.0,106.0,16.0,1027.0,535.0,54.0,5.0,91.0,52.0,10.0,137.0,61.0,30.0,219.0,118.0,365.0,7.0,5.0,32.0,15.0,105.0,33.0,28.0,155.0,104.0,0.0
2020-04-09,35610.0,1922.0,260.0,809.0,4868.0,4204.0,3784.0,5002.0,169.0,80.0,89.0,337.0,224.0,4056.0,1380.0,426.0,1580.0,85.0,515.0,25.0,206.0,54.0,771.0,594.0,112.0,15.0,99.0,71.0,8.0,355.0,64.0,54.0,201.0,115.0,500.0,31.0,5.0,33.0,7.0,104.0,50.0,40.0,238.0,94.0,0.0
2020-04-10,34283.0,1546.0,403.0,873.0,4324.0,3951.0,1566.0,5051.0,250.0,180.0,69.0,219.0,311.0,4747.0,1144.0,529.0,1684.0,210.0,2196.0,17.0,119.0,4.0,500.0,636.0,94.0,28.0,74.0,54.0,31.0,364.0,88.0,31.0,238.0,149.0,1515.0,39.0,4.0,36.0,16.0,65.0,38.0,16.0,271.0,95.0,0.0
